DP;DPNOM;AÑO;ÁREA GEOGRÁFICA;Población
18;Caquetá;2020;Centros Poblados y Rural Disperso;145.036
18;Caquetá;2020;Total;413.688
18;Caquetá;2021;Cabecera;272.904
18;Caquetá;2021;Centros Poblados y Rural Disperso;145.363
18;Caquetá;2021;Total;418.267
18;Caquetá;2022;Cabecera;276.155
18;Caquetá;2022;Centros Poblados y Rural Disperso;145.642
18;Caquetá;2022;Total;421.797
18;Caquetá;2023;Cabecera;278.964
18;Caquetá;2023;Centros Poblados y Rural Disperso;146.089
18;Caquetá;2023;Total;425.053
18;Caquetá;2024;Cabecera;281.414
18;Caquetá;2024;Centros Poblados y Rural Disperso;146.748
18;Caquetá;2024;Total;428.162
18;Caquetá;2025;Cabecera;283.439
18;Caquetá;2025;Centros Poblados y Rural Disperso;147.445
18;Caquetá;2025;Total;430.884
18;Caquetá;2026;Cabecera;285.050
18;Caquetá;2026;Centros Poblados y Rural Disperso;148.197
18;Caquetá;2026;Total;433.247
18;Caquetá;2027;Cabecera;286.313
18;Caquetá;2027;Centros Poblados y Rural Disperso;149.076
18;Caquetá;2027;Total;435.389
18;Caquetá;2028;Cabecera;287.290
18;Caquetá;2028;Centros Poblados y Rural Disperso;150.036
18;Caquetá;2028;Total;437.326
18;Caquetá;2029;Cabecera;287.910
18;Caquetá;2029;Centros Poblados y Rural Disperso;151.153
18;Caquetá;2029;Total;439.063
18;Caquetá;2030;Cabecera;288.223
18;Caquetá;2030;Centros Poblados y Rural Disperso;152.401
18;Caquetá;2030;Total;440.624
18;Caquetá;2031;Cabecera;288.283
18;Caquetá;2031;Centros Poblados y Rural Disperso;153.741
18;Caquetá;2031;Total;442.024
18;Caquetá;2032;Cabecera;288.272
18;Caquetá;2032;Centros Poblados y Rural Disperso;154.986
18;Caquetá;2032;Total;443.258
18;Caquetá;2033;Cabecera;288.114
18;Caquetá;2033;Centros Poblados y Rural Disperso;156.210
18;Caquetá;2033;Total;444.324
18;Caquetá;2034;Cabecera;287.825
18;Caquetá;2034;Centros Poblados y Rural Disperso;157.394
18;Caquetá;2034;Total;445.219
18;Caquetá;2035;Cabecera;287.422
18;Caquetá;2035;Centros Poblados y Rural Disperso;158.520
18;Caquetá;2035;Total;445.942
